2024/08/22 11:46:20 [error] 10776#20828: *5 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-login.php?redirect_to=http%3A%2F%2Fprojectnew.local%3A10022%2Fwp-admin%2F&reauth=1 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10020", host: "projectnew.local"
2024/08/22 11:46:20 [error] 10776#20828: *5 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-login.php?redirect_to=http%3A%2F%2Fprojectnew.local%3A10022%2Fwp-admin%2F&reauth=1 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10021", host: "projectnew.local"
2024/08/31 15:26:36 [error] 9460#13192: *7868 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/media?context=edit&include=1693%2C1694%2C1695&per_page=100&orderby=include&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10020", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/post.php?post=1685&action=edit"
2024/08/31 15:26:36 [error] 9460#13192: *7872 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/media?context=edit&include=1704%2C1705&per_page=100&orderby=include&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10020", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/post.php?post=1685&action=edit"
2024/08/31 15:26:36 [error] 9460#13192: *7876 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/settings?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10020", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/post.php?post=1685&action=edit"
2024/08/31 15:26:36 [error] 9460#13192: *7874 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users/1?context=view&_fields=id%2Cname&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10021", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/post.php?post=1685&action=edit"
2024/08/31 15:26:36 [error] 9460#13192: *7874 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users/1?context=view&_fields=id%2Cname&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/post.php?post=1685&action=edit"
2024/08/31 15:26:36 [error] 9460#13192: *7876 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/settings?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10021", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/post.php?post=1685&action=edit"
2024/08/31 15:26:36 [error] 9460#13192: *7868 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/media?context=edit&include=1693%2C1694%2C1695&per_page=100&orderby=include&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10021", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/post.php?post=1685&action=edit"
2024/08/31 15:26:36 [error] 9460#13192: *7872 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/media?context=edit&include=1704%2C1705&per_page=100&orderby=include&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10021", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/post.php?post=1685&action=edit"
2024/08/31 15:26:37 [error] 9460#13192: *7881 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:26:42 [error] 9460#13192: *7882 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/block-patterns/patterns?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/post.php?post=1685&action=edit"
